zone,latitude,longitude
Newark Airport,40.6895314,-74.1744624
Jamaica Bay,40.6056632,-73.8713099
Allerton/Pelham Gardens,40.8653022,-73.8468281
Alphabet City,40.7258428,-73.9774916
Arden Heights,40.556413,-74.1735044
Arrochar/Fort Wadsworth,40.6012117,-74.0579185
Astoria,40.7643574,-73.9234619
Astoria Park,40.7785364,-73.9228336
Auburndale,40.7577672,-73.7833961
Baisley Park,40.6737751,-73.786025
Bath Beach,40.6038852,-74.0062078
Battery Park,40.702786,-74.0157731
Battery Park City,40.7115786,-74.0158441
Bay Ridge,40.6263732,-74.0298767
Bay Terrace/Fort Totten,40.7934184,-73.778797
Bayside,40.7602604,-73.7692026
Bedford,41.204262,-73.6437397
Bedford Park,40.8700999,-73.8856912
Bellerose,40.7243707,-73.7154014
Belmont,42.2231241,-78.0344506
Bensonhurst East,40.6139307,-73.9921833
Bensonhurst West,40.6139307,-73.9921833
Bloomfield/Emerson Hill,40.6085851,-74.0945642
Bloomingdale,44.4078279,-74.0870965
Boerum Hill,40.6848689,-73.9844722
Borough Park,40.6350319,-73.9921028
Breezy Point/Fort Tilden/Riis Beach,40.5613303,-73.8956502
Briarwood/Jamaica Hills,40.679268,-73.8950559
Brighton Beach,40.5780706,-73.9596565
Broad Channel,40.6158335,-73.8213213
Bronx Park,40.8614069,-73.8705879
Bronxdale,40.8506558,-73.8665241
Brooklyn Heights,40.6959294,-73.9955523
Brooklyn Navy Yard,40.6991765,-73.9715838
Brownsville,40.665214,-73.9125304
Bushwick North,40.6957755,-73.9170604
Bushwick South,40.6957755,-73.9170604
Cambria Heights,40.692158,-73.7330753
Canarsie,40.6402325,-73.9060579
Carroll Gardens,40.6795331,-73.9991637
Central Harlem,40.8089419,-73.9482305
Central Harlem North,40.8089419,-73.9482305
Central Park,40.7825547,-73.9655834
Charleston/Tottenville,40.5090747,-74.2468867
Chinatown,40.7157509,-73.9970307
City Island,40.8468202,-73.7874983
Claremont/Bathgate,40.812911,-73.9616239
Clinton East,42.6242464,-73.7284533
Clinton Hill,40.6896834,-73.9661144
Clinton West,40.7628785,-73.9940134
Co-Op City,40.8738889,-73.8294444
Cobble Hill,40.686536,-73.9962255
College Point,40.786395,-73.8389657
Columbia Street,40.7171876,-73.9801753
Coney Island,40.5755438,-73.9707016
Corona,40.7449859,-73.8642613
Corona,40.7449859,-73.8642613
Country Club,40.8391667,-73.8197222
Crotona Park,40.8388132,-73.8923985
Crotona Park East,40.8365344,-73.8933509
Crown Heights North,40.6694022,-73.9422324
Crown Heights South,40.6694022,-73.9422324
Cypress Hills,40.6836873,-73.8796331
Douglaston,40.7640151,-73.7433727
Downtown Brooklyn/MetroTech,40.6930987,-73.9856634
DUMBO/Vinegar Hill,40.7029052,-73.990118
Dyker Heights,40.6167679,-74.0183
East Chelsea,40.7465004,-74.0013737
East Concourse/Concourse Village,40.8316761,-73.9227554
East Elmhurst,40.7660427,-73.8758704
East Flatbush/Farragut,40.6375133,-73.9280797
East Flatbush/Remsen Village,40.652813,-73.9199721
East Flushing,40.7540534,-73.8086418
East Harlem North,40.7957399,-73.9389213
East Harlem South,40.7957399,-73.9389213
East New York,40.6590529,-73.8759245
East New York/Pennsylvania Avenue,40.6646501,-73.894767
East Tremont,40.8453781,-73.8909693
East Village,40.7264773,-73.9815337
East Williamsburg,40.7141953,-73.9316461
Eastchester,40.9595605,-73.8095574
Elmhurst,40.7394035,-73.8779431
Elmhurst/Maspeth,40.7394035,-73.8779431
Eltingville/Annadale/Prince's Bay,40.54007,-74.177261
Erasmus,40.6495482,-73.9559714
Far Rockaway,40.5998931,-73.7448437
Financial District North,40.7077143,-74.0082787
Financial District South,40.7049471,-74.0052682
Flatbush/Ditmas Park,40.6414876,-73.9593998
Flatiron,40.740083,-73.9903489
Flatlands,40.6232714,-73.9321664
Flushing,40.7647238,-73.8306716
Flushing Meadows-Corona Park,40.7400275,-73.8406953
Fordham South,40.8592667,-73.8984694
Forest Hills,40.718106,-73.8448469
Forest Park/Highland Park,40.6871747,-73.8877422
